movieId,imdbId,tmdbId,title,genres,year
1,tt0114709,862.0,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995.0
2,tt0113497,8844.0,Jumanji,Adventure|Children|Fantasy,1995.0
3,tt0113228,15602.0,Grumpier Old Men,Comedy|Romance,1995.0
4,tt0114885,31357.0,Waiting to Exhale,Comedy|Drama|Romance,1995.0
5,tt0113041,11862.0,Father of the Bride Part II,Comedy,1995.0
6,tt0113277,949.0,Heat,Action|Crime|Thriller,1995.0
7,tt0114319,11860.0,Sabrina,Comedy|Romance,1995.0
8,tt0112302,45325.0,Tom and Huck,Adventure|Children,1995.0
9,tt0114576,9091.0,Sudden Death,Action,1995.0
10,tt0113189,710.0,GoldenEye,Action|Adventure|Thriller,1995.0
11,tt0112346,9087.0,"American President, The",Comedy|Drama|Romance,1995.0
12,tt0112896,12110.0,Dracula: Dead and Loving It,Comedy|Horror,1995.0
13,tt0112453,21032.0,Balto,Adventure|Animation|Children,1995.0
14,tt0113987,10858.0,Nixon,Drama,1995.0
15,tt0112760,1408.0,Cutthroat Island,Action|Adventure|Romance,1995.0
16,tt0112641,524.0,Casino,Crime|Drama,1995.0
17,tt0114388,4584.0,Sense and Sensibility,Drama|Romance,1995.0
18,tt0113101,5.0,Four Rooms,Comedy,1995.0
19,tt0112281,9273.0,Ace Ventura: When Nature Calls,Comedy,1995.0
20,tt0113845,11517.0,Money Train,Action|Comedy|Crime|Drama|Thriller,1995.0
21,tt0113161,8012.0,Get Shorty,Comedy|Crime|Thriller,1995.0
22,tt0112722,1710.0,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995.0
23,tt0112401,9691.0,Assassins,Action|Crime|Thriller,1995.0
24,tt0114168,12665.0,Powder,Drama|Sci-Fi,1995.0
25,tt0113627,451.0,Leaving Las Vegas,Drama|Romance,1995.0
26,tt0114057,16420.0,Othello,Drama,1995.0
27,tt0114011,9263.0,Now and Then,Children|Drama,1995.0
28,tt0114117,17015.0,Persuasion,Drama|Romance,1995.0
29,tt0112682,902.0,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0
30,tt0115012,37557.0,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995.0
31,tt0112792,9909.0,Dangerous Minds,Drama,1995.0
32,tt0114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995.0
34,tt0112431,9598.0,Babe,Children|Drama,1995.0
36,tt0112818,687.0,Dead Man Walking,Crime|Drama,1995.0
38,tt0113442,33689.0,It Takes Two,Children|Comedy,1995.0
39,tt0112697,9603.0,Clueless,Comedy|Romance,1995.0
40,tt0112749,34615.0,"Cry, the Beloved Country",Drama,1995.0
41,tt0114279,31174.0,Richard III,Drama|War,1995.0
42,tt0112819,11443.0,Dead Presidents,Action|Crime|Drama,1995.0
43,tt0114272,35196.0,Restoration,Drama,1995.0
44,tt0113855,9312.0,Mortal Kombat,Action|Adventure|Fantasy,1995.0
45,tt0114681,577.0,To Die For,Comedy|Drama|Thriller,1995.0
46,tt0113347,11861.0,How to Make an American Quilt,Drama|Romance,1995.0
47,tt0114369,807.0,Seven (a.k.a. Se7en),Mystery|Thriller,1995.0
48,tt0114148,10530.0,Pocahontas,Animation|Children|Drama|Musical|Romance,1995.0
49,tt0114916,8391.0,When Night Is Falling,Drama|Romance,1995.0
50,tt0114814,629.0,"Usual Suspects, The",Crime|Mystery|Thriller,1995.0
52,tt0113819,11448.0,Mighty Aphrodite,Comedy|Drama|Romance,1995.0
53,tt0110299,49133.0,Lamerica,Adventure|Drama,1994.0
54,tt0112499,26441.0,"Big Green, The",Children|Comedy,1995.0
55,tt0113158,97406.0,Georgia,Drama,1995.0
57,tt0113321,9089.0,Home for the Holidays,Drama,1995.0
58,tt0110877,11010.0,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994.0
60,tt0113419,11359.0,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995.0
61,tt0116260,17182.0,Eye for an Eye,Drama|Thriller,1996.0
62,tt0113862,2054.0,Mr. Holland's Opus,Drama,1995.0
63,tt0116126,10607.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996.0
64,tt0118002,19760.0,Two if by Sea,Comedy|Romance,1996.0
65,tt0115683,9536.0,Bio-Dome,Comedy,1996.0
66,tt0116839,11525.0,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996.0
68,tt0113149,4482.0,French Twist (Gazon maudit),Comedy|Romance,1995.0
69,tt0113118,10634.0,Friday,Comedy,1995.0
70,tt0116367,755.0,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996.0
71,tt0113010,11859.0,Fair Game,Action,1995.0
72,tt0113537,28387.0,Kicking and Screaming,Comedy|Drama,1995.0
73,tt0113828,48750.0,"Misérables, Les",Drama|War,1995.0
74,tt0115644,20927.0,Bed of Roses,Drama|Romance,1996.0
75,tt0115676,36929.0,Big Bully,Comedy|Drama,1996.0
